station_id,time_of_day,day_of_week,is_holiday,weather,nearby_events,temperature,platform_capacity,crowd_level
18,16,0,1,Sunny,0,31.9,500,Medium
8,6,4,0,Cloudy,0,24.4,700,High
4,20,3,0,Sunny,0,28.6,300,Low
2,19,1,0,Cloudy,1,28.1,900,Low
6,3,6,0,Sunny,0,31.4,500,High
10,13,1,1,Sunny,0,27.2,900,High
4,19,6,0,Cloudy,1,27.0,900,Low
18,21,6,0,Rainy,0,37.2,500,Medium
12,14,1,0,Sunny,0,31.4,300,Low
2,23,3,0,Rainy,2,27.2,500,High
10,7,3,0,Sunny,0,28.7,300,High
4,20,6,0,Sunny,0,38.2,700,Low
14,14,3,0,Cloudy,0,28.8,300,Low
16,21,6,1,Rainy,1,26.6,300,High
15,19,6,0,Rainy,1,26.6,500,Medium
8,13,0,0,Sunny,0,27.3,900,Low
14,8,5,1,Sunny,0,27.0,900,High
8,7,0,0,Sunny,1,23.6,300,High
16,16,1,0,Sunny,0,24.4,300,Low
13,1,5,0,Rainy,0,25.9,500,High
18,23,2,0,Sunny,0,33.0,300,Low
15,2,1,0,Cloudy,0,28.1,500,Medium
13,7,4,1,Sunny,1,29.0,700,High
9,11,0,0,Sunny,1,36.4,300,Medium
15,0,3,0,Sunny,1,36.5,700,Medium
13,9,0,0,Sunny,1,28.6,300,Medium
1,19,3,0,Sunny,0,26.8,300,Low
7,2,5,0,Cloudy,0,25.7,700,Medium
9,5,4,0,Sunny,0,33.5,700,High
1,6,5,0,Cloudy,0,29.0,500,High
12,19,4,0,Sunny,0,28.1,500,Low
8,22,0,0,Cloudy,1,25.9,700,Low
11,17,3,0,Sunny,2,26.2,300,Low
19,10,5,0,Cloudy,1,31.6,500,High
17,18,4,0,Sunny,0,23.4,300,Low
8,4,6,0,Rainy,0,35.0,900,High
3,18,1,0,Cloudy,1,27.3,500,Low
3,10,1,0,Sunny,0,29.3,500,Medium
1,23,5,0,Sunny,0,23.3,500,Low
5,11,3,0,Sunny,1,29.9,900,High
10,9,6,0,Cloudy,1,28.4,700,High
7,7,5,0,Sunny,0,29.7,300,High
9,23,0,0,Sunny,2,37.4,900,Medium
7,8,4,0,Sunny,0,30.9,700,High
9,3,0,0,Sunny,0,26.0,500,Medium
8,4,1,0,Cloudy,0,26.4,700,Medium
12,20,4,0,Sunny,0,33.0,700,Low
2,7,5,0,Rainy,0,36.5,700,High
1,22,0,0,Cloudy,0,31.4,300,Low
16,8,2,0,Sunny,1,33.4,700,High
5,14,3,0,Rainy,1,33.0,700,Medium
3,14,6,0,Sunny,0,37.1,700,Low
12,15,6,1,Rainy,1,20.3,700,High
8,13,3,0,Sunny,0,33.3,900,Medium
3,7,2,0,Rainy,0,34.9,900,High
1,17,1,0,Sunny,0,23.3,700,Low
3,9,4,0,Sunny,2,25.6,700,High
5,19,3,0,Sunny,0,25.7,700,Low
15,5,2,0,Sunny,0,26.4,500,High
14,11,5,0,Rainy,0,27.6,700,High
3,1,6,0,Sunny,0,31.2,700,Medium
1,6,2,0,Rainy,0,34.3,900,High
5,15,1,0,Sunny,0,35.4,900,Low
14,2,1,1,Rainy,0,25.8,900,High
7,12,0,0,Sunny,0,25.8,300,Low
9,2,3,0,Sunny,1,36.6,500,High
15,17,0,0,Sunny,2,33.2,700,Low
15,10,6,0,Rainy,0,30.4,900,High
10,7,2,0,Sunny,2,32.4,300,High
13,5,4,0,Cloudy,0,29.9,700,High
19,0,4,0,Cloudy,1,32.6,700,Medium
7,0,1,0,Sunny,1,28.3,900,Medium
17,22,4,0,Rainy,0,31.3,700,Medium
20,7,4,0,Sunny,1,22.4,700,High
4,4,6,0,Sunny,1,26.6,700,High
5,15,4,0,Rainy,1,26.6,900,Medium
7,10,2,1,Rainy,1,28.1,300,High
13,4,4,0,Rainy,0,25.4,700,High
15,3,5,0,Sunny,0,27.3,300,Medium
11,5,4,0,Sunny,1,22.4,700,High
4,13,4,0,Sunny,0,32.7,900,Medium
13,21,0,0,Rainy,0,29.6,300,Low
7,18,2,0,Sunny,1,21.5,900,Low
19,8,1,0,Rainy,0,25.8,500,High
2,11,0,0,Sunny,0,31.7,700,Medium
10,10,3,0,Sunny,0,27.3,500,Medium
13,13,2,0,Sunny,0,26.5,500,Low
6,22,5,0,Sunny,0,29.6,500,Low
12,15,2,0,Sunny,1,31.7,700,Low
12,0,3,0,Cloudy,0,22.8,900,Medium
20,12,3,1,Cloudy,0,32.8,500,High
11,22,3,0,Sunny,1,26.0,300,Low
7,20,6,1,Sunny,1,29.9,700,High
1,20,1,0,Sunny,0,29.8,900,Low
1,12,4,0,Cloudy,0,27.4,900,Medium
20,1,2,0,Sunny,1,24.9,500,Medium
13,3,6,0,Cloudy,0,28.6,700,High
9,5,4,0,Sunny,0,38.1,500,High
3,22,4,1,Sunny,1,23.2,300,High
7,4,5,0,Cloudy,0,38.5,900,High
6,2,3,0,Sunny,0,28.7,900,Medium
8,0,1,0,Sunny,1,30.2,700,Medium
9,3,5,0,Sunny,0,24.6,900,High
5,19,0,0,Sunny,0,26.1,700,Low
1,1,6,0,Sunny,1,27.5,500,High
19,4,6,0,Rainy,1,24.8,300,High
10,2,1,0,Rainy,0,29.0,700,High
12,8,4,0,Sunny,1,28.0,500,High
15,19,6,0,Cloudy,0,39.3,300,Low
9,5,1,0,Sunny,0,24.2,900,High
20,17,6,0,Sunny,3,30.5,300,Medium
17,5,6,0,Sunny,0,31.2,300,High
17,18,3,0,Sunny,0,24.6,300,Low
20,11,0,0,Sunny,1,33.4,900,Medium
12,10,3,0,Cloudy,0,28.0,700,Medium
7,1,0,0,Sunny,0,17.5,700,Medium
2,14,6,0,Sunny,0,33.3,300,Low
3,11,5,0,Sunny,1,24.4,500,Medium
17,11,4,0,Rainy,0,24.8,500,High
5,8,6,0,Cloudy,1,33.4,300,High
17,20,0,0,Sunny,0,28.3,300,Low
17,23,0,0,Sunny,0,34.6,500,Low
17,1,0,0,Sunny,1,36.1,300,Medium
2,21,6,0,Sunny,1,26.8,300,Low
2,2,1,1,Sunny,0,34.0,700,High
5,11,5,1,Sunny,2,26.2,700,High
1,15,1,0,Sunny,0,41.2,300,Low
1,20,4,0,Sunny,4,26.5,300,Medium
19,23,6,0,Sunny,0,35.1,900,Medium
2,0,0,1,Cloudy,0,34.2,700,High
12,20,5,0,Cloudy,0,31.6,300,Low
6,2,5,0,Sunny,1,26.6,900,High
4,19,2,0,Sunny,0,29.2,900,Low
11,1,4,0,Sunny,0,19.2,900,Medium
17,8,5,0,Sunny,0,31.1,900,High
6,18,6,1,Rainy,0,31.7,700,High
5,14,0,0,Sunny,0,30.7,900,Low
20,17,0,0,Cloudy,0,15.1,700,Low
2,10,5,0,Cloudy,0,23.7,900,High
6,22,1,0,Sunny,1,26.3,900,Medium
11,15,4,0,Sunny,0,31.5,500,Low
16,21,0,0,Sunny,0,31.4,700,Low
16,16,5,0,Sunny,0,29.1,500,Low
1,4,0,0,Sunny,0,33.2,500,Medium
9,11,5,0,Sunny,1,24.9,900,High
6,10,4,0,Cloudy,0,33.1,700,Medium
16,14,5,1,Sunny,0,32.4,300,Medium
3,2,2,1,Sunny,2,31.9,900,High
20,0,5,0,Rainy,0,29.1,700,High
4,19,5,0,Rainy,0,39.2,500,Low
19,15,6,0,Sunny,0,32.5,700,Low
3,1,4,0,Cloudy,0,25.2,900,Medium
19,1,6,0,Sunny,0,31.2,700,Medium
20,2,5,1,Sunny,0,33.8,500,High
7,7,4,0,Sunny,0,27.1,700,High
20,23,2,0,Sunny,1,35.4,700,Medium
9,14,4,1,Cloudy,0,31.9,500,Medium
1,6,0,0,Rainy,1,18.3,900,High
8,5,6,0,Cloudy,1,31.5,300,High
7,8,4,0,Sunny,0,28.0,500,High
18,19,2,0,Sunny,0,32.7,500,Low
8,0,3,0,Sunny,0,34.7,900,Medium
1,7,5,0,Sunny,1,31.0,900,High
11,22,4,1,Rainy,0,38.3,700,High
18,22,5,0,Rainy,0,29.1,500,Medium
10,2,1,0,Sunny,0,33.1,700,Medium
3,3,0,0,Sunny,0,34.0,700,Medium
7,14,6,0,Sunny,1,29.5,900,Medium
16,5,0,0,Sunny,2,33.9,900,High
16,14,1,1,Sunny,1,27.0,700,High
20,20,1,0,Sunny,1,27.9,500,Low
17,2,6,0,Sunny,3,23.4,500,High
2,20,4,0,Sunny,2,31.2,700,Medium
1,20,1,0,Sunny,0,31.6,300,Low
16,13,3,0,Sunny,0,35.9,300,Low
12,19,5,0,Rainy,0,34.0,900,Medium
5,13,5,0,Sunny,0,28.6,500,Low
5,3,2,1,Cloudy,0,24.1,700,High
9,11,1,0,Sunny,0,32.2,700,Medium
9,16,1,0,Sunny,2,35.6,500,Low
3,6,3,0,Sunny,0,33.8,900,High
19,8,0,0,Sunny,0,35.4,900,High
16,2,0,0,Cloudy,0,28.9,300,Medium
16,12,5,0,Sunny,1,27.7,500,Medium
3,14,5,0,Cloudy,0,26.3,500,Low
20,17,4,0,Cloudy,2,29.7,700,Medium
1,18,6,0,Sunny,1,29.6,500,Low
20,0,3,0,Sunny,0,31.0,300,Low
11,5,6,0,Rainy,0,29.4,500,High
17,22,6,0,Sunny,0,29.3,700,Low
8,1,2,0,Rainy,0,26.1,300,Medium
4,23,6,0,Sunny,0,34.7,700,Medium
6,13,2,0,Sunny,1,30.4,500,Medium
8,5,6,0,Sunny,0,29.1,900,High
20,13,3,0,Sunny,0,26.3,500,Low
3,3,2,0,Cloudy,1,23.3,500,High
16,20,0,0,Sunny,1,36.5,700,Low
3,7,2,0,Cloudy,0,32.8,900,High
18,2,2,0,Sunny,0,21.9,500,Medium
14,18,3,1,Sunny,0,33.8,300,Medium
18,13,3,0,Sunny,0,34.6,300,Low
2,19,2,0,Sunny,0,30.6,700,Low
3,16,1,0,Sunny,0,38.0,700,Low
16,7,3,0,Sunny,0,31.1,900,High
9,23,4,0,Cloudy,0,22.9,700,Low
4,13,4,0,Sunny,0,31.8,900,Medium
1,5,0,0,Sunny,0,31.2,500,Medium
4,22,6,0,Cloudy,0,27.0,300,Low
1,21,2,0,Rainy,0,32.9,300,Low
14,15,1,0,Sunny,0,21.7,300,Low
16,18,0,0,Sunny,1,35.0,700,Low
20,13,2,0,Cloudy,1,25.6,700,Medium
8,18,3,0,Sunny,0,25.1,500,Low
7,2,4,1,Sunny,0,29.4,700,High
3,9,5,1,Sunny,1,32.2,900,High
17,18,1,0,Cloudy,0,30.8,300,Low
1,8,5,0,Sunny,0,26.3,500,High
16,19,4,0,Cloudy,0,27.5,900,Low
12,12,6,1,Sunny,0,24.3,900,High
19,6,6,0,Rainy,0,28.9,700,High
14,13,5,0,Sunny,0,35.4,700,Medium
6,8,3,0,Sunny,0,30.0,300,Medium
6,22,2,0,Cloudy,0,34.3,500,Low
13,18,3,0,Sunny,1,37.3,900,Low
19,14,5,0,Sunny,0,27.1,700,Low
8,19,3,0,Sunny,1,29.1,700,Low
2,13,4,0,Sunny,0,40.9,500,Low
1,23,1,0,Sunny,0,37.2,500,Low
15,5,3,0,Rainy,1,21.6,700,High
1,20,4,0,Sunny,0,31.9,700,Low
5,3,1,0,Sunny,1,30.0,300,Medium
16,7,6,0,Sunny,1,34.1,500,High
19,16,2,0,Rainy,1,26.3,900,Medium
4,8,5,0,Rainy,0,25.8,700,High
3,0,6,1,Sunny,0,26.6,700,High
17,23,2,0,Sunny,0,27.1,700,Low
17,19,6,0,Cloudy,0,34.1,700,Low
12,13,0,0,Sunny,0,24.1,300,Low
14,10,6,1,Cloudy,0,26.9,500,High
6,20,4,0,Cloudy,0,21.1,700,Low
3,2,1,0,Rainy,0,35.0,500,High
9,8,6,0,Sunny,1,36.4,900,High
5,13,3,0,Cloudy,1,28.4,900,Medium
17,8,2,0,Rainy,2,28.5,900,High
14,3,6,0,Sunny,0,32.3,900,High
3,3,1,0,Sunny,0,37.4,500,Medium
1,7,4,0,Sunny,0,32.0,900,High
20,1,0,0,Sunny,0,26.5,900,Medium
1,8,2,0,Sunny,0,21.9,700,High
3,13,5,0,Sunny,1,24.4,700,Medium
18,21,1,0,Sunny,0,30.4,700,Low
10,8,5,0,Sunny,1,26.7,300,High
3,23,1,0,Sunny,1,31.0,700,Medium
8,22,1,0,Rainy,1,27.2,900,Medium
14,15,4,0,Cloudy,0,24.7,500,Low
18,16,4,1,Sunny,0,24.1,900,Medium
15,15,4,0,Sunny,1,37.8,500,Low
2,11,6,0,Sunny,0,34.4,900,Medium
10,2,3,0,Rainy,1,38.7,300,High
2,10,1,0,Rainy,0,32.7,700,High
17,13,2,0,Cloudy,1,27.9,900,Medium
8,17,5,0,Sunny,0,36.6,700,Low
1,20,4,0,Cloudy,4,29.8,300,Medium
9,20,6,0,Sunny,1,31.1,300,Low
11,4,4,0,Rainy,1,29.8,700,High
16,15,5,0,Sunny,0,15.3,700,Low
7,19,5,0,Cloudy,0,38.0,500,Low
10,4,1,0,Sunny,0,32.5,700,Medium
3,2,4,0,Rainy,0,31.6,700,High
18,11,5,0,Cloudy,2,29.7,500,High
13,0,3,1,Sunny,1,30.8,900,High
7,20,3,1,Sunny,0,27.0,500,Medium
4,8,4,0,Cloudy,0,33.1,900,High
13,8,6,0,Sunny,1,23.5,900,High
20,3,5,0,Sunny,0,30.9,900,High
1,2,1,0,Sunny,0,32.8,500,Medium
8,16,1,0,Sunny,0,29.0,500,Low
14,1,6,0,Sunny,0,31.9,300,Medium
16,23,1,0,Sunny,0,25.0,900,Low
14,0,0,0,Sunny,0,25.2,500,Low
12,7,4,0,Sunny,0,31.2,300,High
19,12,1,0,Cloudy,1,33.4,900,Medium
15,22,3,0,Cloudy,0,20.6,500,Low
2,14,5,0,Rainy,0,32.6,500,Medium
2,7,2,0,Sunny,1,27.3,500,High
19,11,6,0,Cloudy,1,29.0,700,High
17,21,2,0,Sunny,1,23.3,300,Low
20,11,1,0,Sunny,0,25.7,500,Medium
10,13,2,0,Cloudy,0,34.8,700,Low
6,14,2,0,Rainy,0,30.2,300,Low
15,14,0,0,Rainy,2,28.1,300,Medium
11,8,3,0,Rainy,0,29.4,700,High
5,18,6,0,Sunny,0,32.4,300,Low
1,19,3,0,Sunny,0,32.2,700,Low
8,21,0,0,Rainy,0,29.6,900,Low
12,7,0,0,Sunny,2,35.5,500,High
12,20,2,0,Sunny,1,34.9,700,Low
5,18,4,1,Rainy,0,32.1,300,Medium
7,5,5,0,Rainy,0,30.3,300,High
4,19,5,0,Sunny,0,33.3,900,Low
6,18,2,0,Rainy,1,31.6,900,Medium
13,3,5,0,Cloudy,0,35.3,900,High
20,22,0,0,Rainy,0,34.5,900,Medium
15,6,3,0,Sunny,1,24.9,900,High
3,3,5,0,Sunny,1,24.6,500,High
8,21,6,0,Sunny,0,26.5,700,Low
20,11,2,0,Sunny,0,34.9,900,Medium
16,12,4,0,Sunny,1,22.1,900,Medium
13,2,2,0,Sunny,1,32.0,500,Medium
18,21,1,0,Sunny,0,31.8,700,Low
10,11,2,0,Cloudy,3,35.8,900,High
19,1,0,0,Sunny,2,30.9,700,High
17,23,3,0,Rainy,0,23.3,700,Medium
19,1,3,0,Rainy,0,25.2,500,High
5,22,6,0,Sunny,1,24.1,500,Medium
9,8,5,0,Cloudy,0,27.3,900,High
12,0,0,0,Sunny,0,29.1,300,Low
1,7,1,0,Sunny,0,24.2,500,Medium
1,22,0,0,Rainy,0,37.4,700,Medium
15,5,2,0,Sunny,0,23.4,700,High
2,5,0,0,Rainy,1,36.7,900,High
16,21,0,0,Sunny,0,35.9,900,Low
8,17,6,0,Cloudy,0,34.5,900,Low
13,16,1,1,Sunny,0,26.5,700,Medium
1,11,2,0,Rainy,0,31.7,500,Medium
16,5,4,0,Sunny,1,23.6,300,High
7,7,6,0,Rainy,1,34.6,500,High
5,18,4,0,Rainy,0,29.6,300,Low
3,9,6,0,Sunny,0,28.0,500,High
12,0,3,0,Rainy,0,23.9,900,Medium
16,12,6,0,Sunny,2,17.6,700,High
19,16,5,0,Cloudy,0,24.8,300,Low
5,2,0,0,Sunny,0,35.6,500,Medium
14,7,3,0,Cloudy,0,28.0,700,High
5,13,1,0,Cloudy,1,29.2,300,Low
15,2,4,0,Sunny,1,33.3,300,High
17,15,6,0,Sunny,0,39.0,700,Low
14,12,0,0,Sunny,0,36.6,900,Medium
20,19,1,0,Cloudy,0,25.1,700,Low
5,23,5,0,Sunny,1,20.3,900,Medium
12,16,1,0,Sunny,1,41.8,500,Low
16,12,0,0,Cloudy,1,41.3,500,Medium
16,5,5,0,Sunny,3,30.9,700,High
7,16,1,0,Rainy,1,23.6,900,Medium
4,13,5,0,Sunny,0,34.8,500,Low
1,16,6,0,Sunny,0,29.5,900,Low
5,7,6,0,Rainy,0,29.4,900,High
10,10,0,0,Sunny,1,34.5,900,High
5,19,0,0,Sunny,0,31.7,700,Low
4,0,5,0,Cloudy,0,24.1,900,Medium
2,6,2,0,Sunny,0,28.4,700,High
20,20,3,0,Cloudy,0,33.3,500,Low
10,20,1,0,Cloudy,0,32.6,500,Low
19,16,1,0,Sunny,0,31.3,300,Low
1,9,2,0,Sunny,0,34.7,300,Medium
5,10,2,0,Rainy,3,28.2,500,High
13,21,2,0,Sunny,0,30.9,900,Low
4,8,4,0,Sunny,0,13.1,900,High
16,8,4,0,Rainy,0,27.8,500,High
16,23,5,0,Sunny,0,33.8,500,Low
2,4,4,0,Cloudy,1,28.0,300,High
17,16,6,0,Sunny,0,27.7,900,Low
20,8,6,0,Sunny,1,24.8,500,High
12,16,0,0,Sunny,0,35.0,300,Low
18,23,5,1,Cloudy,0,32.7,300,High
3,20,1,0,Rainy,0,34.1,900,Low
1,18,3,0,Cloudy,0,21.4,300,Low
1,6,0,0,Sunny,0,29.2,300,Medium
19,22,1,0,Sunny,0,28.6,700,Low
11,8,1,0,Sunny,1,28.6,500,High
5,6,5,0,Sunny,0,26.9,900,High
12,12,2,0,Sunny,0,28.3,500,Low
3,10,2,0,Rainy,0,34.2,700,High
1,13,0,1,Sunny,1,20.4,900,High
1,18,2,0,Cloudy,0,38.9,500,Low
8,10,1,0,Sunny,0,32.4,300,Medium
10,12,2,1,Cloudy,0,29.8,900,High
11,13,4,0,Sunny,1,34.5,700,Medium
12,12,2,0,Sunny,0,22.7,300,Low
13,0,1,0,Sunny,0,26.7,700,Low
12,7,5,0,Sunny,0,29.4,300,High
14,11,0,1,Sunny,2,36.8,500,High
2,18,3,1,Sunny,0,29.8,500,Medium
19,11,2,0,Sunny,0,32.3,500,Medium
18,7,6,0,Rainy,0,27.1,700,High
3,7,6,0,Rainy,0,32.4,900,High
17,20,1,0,Cloudy,0,38.4,500,Low
8,12,3,0,Sunny,0,35.0,700,Medium
10,11,3,0,Rainy,0,29.6,300,Medium
2,15,4,1,Sunny,0,33.4,500,Medium
19,0,3,0,Sunny,1,32.9,300,Medium
9,12,6,0,Sunny,1,32.5,500,Medium
7,6,5,0,Sunny,0,35.6,300,High
4,4,1,0,Sunny,1,35.5,700,High
18,7,1,0,Sunny,1,29.4,500,High
13,13,2,0,Sunny,0,33.2,700,Low
11,22,2,0,Rainy,0,28.1,700,Medium
4,12,2,0,Rainy,0,25.4,300,Medium
4,14,6,0,Cloudy,0,28.7,500,Low
10,22,6,0,Rainy,0,29.6,900,Medium
5,16,6,1,Sunny,1,21.7,900,High
9,14,6,0,Cloudy,0,34.3,700,Low
3,19,6,0,Cloudy,0,16.2,300,Low
17,17,6,0,Sunny,0,43.6,300,Low
3,17,5,0,Sunny,0,37.5,300,Low
16,1,6,1,Cloudy,1,28.7,500,High
4,3,3,0,Sunny,0,30.0,500,Medium
18,0,3,0,Cloudy,1,31.5,300,Medium
17,3,4,0,Sunny,1,27.1,900,High
7,17,5,0,Sunny,1,31.0,900,Low
5,4,2,0,Sunny,0,29.3,500,Medium
12,18,0,0,Sunny,0,29.5,300,Low
17,14,6,0,Cloudy,1,30.9,900,Medium
13,7,4,0,Cloudy,1,23.4,900,High
3,19,0,0,Sunny,1,30.2,500,Low
9,16,3,0,Sunny,0,30.8,500,Low
17,0,4,0,Cloudy,0,30.6,900,Medium
17,11,4,0,Rainy,0,28.9,300,Medium
20,18,1,0,Sunny,0,35.7,900,Low
16,14,3,0,Sunny,1,28.2,900,Medium
13,8,3,0,Rainy,0,31.1,300,High
19,6,5,0,Rainy,1,36.5,500,High
17,1,4,0,Sunny,2,29.6,300,High
4,8,6,0,Sunny,0,31.1,300,High
12,9,3,0,Cloudy,0,29.5,300,Medium
9,1,4,0,Rainy,1,36.2,300,High
19,18,5,0,Sunny,0,28.7,500,Low
12,10,6,0,Sunny,1,36.4,900,High
9,12,5,0,Rainy,1,29.5,700,High
7,9,1,0,Sunny,0,25.7,500,Medium
14,13,6,0,Sunny,1,33.4,300,Medium
20,17,4,0,Sunny,0,28.5,900,Low
19,18,3,0,Sunny,0,33.1,900,Low
15,21,3,0,Rainy,0,16.4,300,Low
16,8,4,0,Sunny,0,30.0,500,High
5,6,4,0,Rainy,1,27.7,300,High
3,2,4,0,Sunny,1,24.7,900,High
12,19,2,0,Sunny,0,27.2,900,Low
20,5,6,0,Sunny,2,27.1,500,High
4,20,3,0,Cloudy,0,29.8,700,Low
16,1,6,0,Cloudy,0,23.2,300,Medium
7,5,5,0,Sunny,0,31.6,700,High
13,2,3,0,Rainy,0,36.8,900,High
10,15,2,0,Rainy,0,31.4,700,Low
7,7,4,0,Cloudy,1,34.0,300,High
14,1,1,0,Sunny,1,35.5,300,Medium
5,16,4,0,Rainy,0,36.2,900,Medium
3,8,4,0,Sunny,1,39.4,500,High
11,11,2,0,Sunny,1,27.5,500,Medium
11,2,6,0,Cloudy,0,26.4,900,High
18,10,3,0,Sunny,1,33.9,300,Medium
15,0,4,0,Sunny,2,33.5,500,High
12,22,3,0,Sunny,0,33.9,700,Low
9,12,0,0,Rainy,0,39.4,900,Medium
10,14,5,0,Rainy,0,30.1,700,Medium
12,4,6,0,Sunny,1,32.1,300,High
17,20,3,0,Cloudy,0,25.1,500,Low
6,16,1,0,Sunny,1,40.7,300,Low
7,22,5,0,Sunny,1,28.3,700,Medium
14,23,1,0,Cloudy,1,28.5,300,Low
13,5,4,0,Sunny,0,28.3,300,High
8,20,5,0,Sunny,0,26.8,900,Low
10,21,3,0,Sunny,0,26.4,900,Low
9,10,5,0,Cloudy,1,27.4,300,High
18,17,4,0,Sunny,1,23.2,900,Low
2,3,2,0,Cloudy,0,26.1,300,Medium
5,2,6,0,Rainy,0,39.7,700,High
5,12,1,0,Sunny,0,33.7,900,Medium
6,22,4,0,Rainy,0,34.6,300,Medium
19,8,2,0,Sunny,0,35.9,900,High
8,20,5,1,Sunny,1,39.2,300,High
16,5,5,0,Rainy,0,21.1,900,High
13,11,4,0,Cloudy,0,23.9,500,Medium
1,1,3,0,Sunny,0,26.0,300,Medium
20,2,5,0,Sunny,1,27.7,500,High
17,2,3,0,Sunny,0,28.5,300,Medium
7,11,3,0,Sunny,0,27.8,500,Medium
13,14,6,0,Sunny,0,31.1,300,Low
4,8,3,0,Sunny,0,30.2,900,High
4,22,0,0,Rainy,1,26.4,500,Medium
6,7,6,0,Sunny,0,19.1,900,High
19,10,2,0,Sunny,1,25.0,300,Medium
12,15,2,0,Cloudy,1,27.3,900,Low
7,21,5,0,Cloudy,1,28.8,300,Low
10,3,5,0,Sunny,0,24.4,900,High
19,0,3,0,Sunny,0,27.5,500,Medium
7,23,6,1,Rainy,0,24.3,300,High
3,6,6,0,Sunny,0,29.4,900,High
13,1,0,0,Sunny,0,24.6,300,Low
13,23,3,0,Rainy,0,25.8,300,Medium
18,4,0,0,Sunny,0,23.5,300,Medium
20,6,3,0,Sunny,0,29.2,700,High
8,3,1,0,Sunny,1,25.7,300,Medium
9,4,1,0,Sunny,0,34.5,900,High
7,23,4,0,Sunny,0,32.0,700,Low
1,0,3,0,Cloudy,0,29.7,900,Medium
3,0,6,0,Sunny,0,26.0,700,Medium
13,14,5,0,Sunny,1,31.9,300,Medium
17,19,2,0,Sunny,0,33.5,500,Low
1,18,4,0,Cloudy,0,30.7,500,Low
6,9,5,0,Sunny,0,38.0,300,Medium
6,17,1,0,Sunny,2,32.3,700,Low
12,2,3,0,Cloudy,0,34.6,900,Medium
13,10,4,0,Sunny,0,30.7,500,Medium
13,14,3,0,Sunny,0,33.4,300,Low
15,10,1,0,Sunny,0,26.0,300,Medium
16,16,4,0,Sunny,1,27.7,700,Low
11,16,1,0,Sunny,0,31.7,500,Low
5,5,0,0,Rainy,0,31.7,300,High
4,4,1,0,Sunny,1,32.5,500,High
3,7,6,1,Sunny,1,35.5,900,High
19,1,6,0,Sunny,0,22.9,300,Medium
20,15,3,0,Sunny,2,25.1,300,Medium
18,19,2,0,Sunny,0,31.1,900,Low
15,23,1,0,Cloudy,1,26.4,300,Low
9,11,5,0,Sunny,0,46.9,700,Medium
17,5,6,0,Rainy,1,32.6,900,High
14,0,2,0,Sunny,0,29.6,700,Medium
15,3,0,0,Sunny,0,27.4,900,Medium
1,16,4,0,Sunny,0,27.6,900,Low
3,12,4,0,Sunny,0,30.2,700,Medium
16,17,6,0,Sunny,0,30.6,900,Low
11,4,2,0,Sunny,0,27.7,500,Medium
12,23,6,1,Rainy,0,28.6,700,High
10,23,4,0,Sunny,1,36.7,900,Medium
16,2,1,1,Sunny,1,36.9,700,High
